,TF doc1,TF doc2,TF doc3,DF,IDF,TF-IDF doc1,TF-IDF doc2,TF-IDF doc3
rótulos,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
embalagens,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
cigarros,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
apesar,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
diminuição,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
pesquisas,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
nacionais,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
crianças,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
mostram,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
população,0.006711409395973154,0.0,0.005780346820809248,3.0,0.3679767852945943,0.0024696428543261365,0.0,0.0021270334410092157
jovem,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
diversas,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
cidades,0.003355704697986577,0.0,0.011560693641618497,3.0,0.47712125471966244,0.0016010780359720215,0.0,0.005515852655718641
continuam,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
fardo,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
econômica,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
estima,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
se,0.003355704697986577,0.005076142131979695,0.005780346820809248,3.0,0.47712125471966244,0.0016010780359720215,0.0024219353031454944,0.0027579263278593204
fração,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
atribuível,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
carga,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
relevantes,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
reforçar,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
papel,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
controle,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
respeito,0.003355704697986577,0.01015228426395939,0.005780346820809248,4.0,0.47712125471966244,0.0016010780359720215,0.004843870606290989,0.0027579263278593204
relacionado,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
exposição,0.010067114093959731,0.0,0.0,3.0,0.3010299956639812,0.003030503312053502,0.0,0.0
amianto,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
fumaça,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
proveniente,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
combustão,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
lenha,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
domicílio,0.003355704697986577,0.0,0.0,1.0,0.47712125471966244,0.0016010780359720215,0.0,0.0
